ID 	Study 	Case 	Ctrl 	Description 	Citation 	PMID 	Size 	QTL
82	Pancreatic cancer 	"442 [M=288, F=154] "	"195,745 [M=97,655, F=98,090] "	Association result of GWAS for Pancreatic cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		870MB 	No
84	Periodontal disease 	"3,219 [M=1,415, F=1,804] "	"209,234 [M=107,932, F=101,302] "	Association result of GWAS for Periodontal disease in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
86	Peripheral artery disease 	"3,593 [M=2,784, F=809] "	"208,860 [M=106,563, F=102,297] "	Association result of GWAS for Peripheral artery disease in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
88	Pollinosis 	"5,746 [M=2,460, F=3,286] "	"206,707 [M=106,887, F=99,820] "	Association result of GWAS for Pollinosis in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		879MB 	No
90	Prostate cancer 	"5,408 [M=5,408, F=0] "	"103,939 [M=103,939, F=0] "	Association result of GWAS for Prostate cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		877MB 	No
91	Pulmonary tuberculosis 	"549 [M=387, F=162] "	"211,904 [M=108,960, F=102,944] "	Association result of GWAS for Pulmonary tuberculosis in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		867MB 	No
93	Rheumatoid arthritis 	"4,199 [M=874, F=3,325] "	"208,254 [M=108,473, F=99,781] "	Association result of GWAS for Rheumatoid arthritis in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
95	Type 2 diabetes 	"40,250 [M=25,705, F=14,545] "	"170,615 [M=82,774, F=87,841] "	Association result of GWAS for Type 2 diabetes in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		884MB 	No
97	Urolithiasis 	"6,638 [M=4,996, F=1,642] "	"205,815 [M=104,351, F=101,464] "	Association result of GWAS for Urolithiasis in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		880MB 	No
99	Uterine fibroids 	"5,954 [M=0, F=5,954] "	"95,010 [M=0, F=95,010] "	Association result of GWAS for Uterine fibroids in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		877MB 	No
100	hepatocellular carcinoma 	"1,866 [M=1,384, F=482] "	"195,745 [M=97,655, F=98,090] "	Association result of GWAS for hepatocellular carcinoma in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
1	"Body mass index (BMI) (autosomes, all)"		"158,284"	Result of GWAS for BMI in the Biobank Japan using all samples.	Genome-wide association study identifies 112 new loci for body mass index in the Japanese population.	28892062	130MB	Yes
7	Albumin/globulin ratio (AG) (autosome)		"98,626"	Result of GWAS for AG in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
8	Albumin/globulin ratio (AG) (chrX)		"98,626"	Result of GWAS for AG in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
9	Alkaline phosphatase (ALP) (autosome)		"105,030"	Result of GWAS for ALP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
10	Alkaline phosphatase (ALP) (chrX)		"105,030"	Result of GWAS for ALP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
11	Alanine aminotransferase (ALT) (autosome)		"134,182"	Result of GWAS for ALT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
12	Alanine aminotransferase (ALT) (chrX)		"134,182"	Result of GWAS for ALT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
13	Activated partial thromboplastin time (APTT) (autosome)		"37,767"	Result of GWAS for APTT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	134MB	Yes
14	Activated partial thromboplastin time (APTT) (chrX)		"37,767"	Result of GWAS for APTT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
15	Aspartate aminotransferase(AST) (autosome)		"134,154"	Result of GWAS for AST in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
16	Aspartate aminotransferase(AST) (chrX)		"134,154"	Result of GWAS for AST in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
17	Albumin (Alb) (autosome)		"102,223"	Result of GWAS for Alb in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
18	Albumin (Alb) (chrX)		"102,223"	Result of GWAS for Alb in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
19	Blood sugar (BS) (autosome)		"93,146"	Result of GWAS for BS in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
20	Blood sugar (BS) (chrX)		"93,146"	Result of GWAS for BS in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
21	Blood urea nitrogen (BUN) (autosome)		"139,818"	Result of GWAS for BUN in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
22	Blood urea nitrogen (BUN) (chrX)		"139,818"	Result of GWAS for BUN in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
23	Basophil count (Baso) (autosome)		"62,076"	Result of GWAS for Baso in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
24	Basophil count (Baso) (chrX)		"62,076"	Result of GWAS for Baso in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
25	Creatine kinase (CK) (autosome)		"106,080"	Result of GWAS for CK in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
26	Creatine kinase (CK) (chrX)		"106,080"	Result of GWAS for CK in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
27	C-reactive protein (CRP) (autosome)		"75,391"	Result of GWAS for CRP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
28	C-reactive protein (CRP) (chrX)		"75,391"	Result of GWAS for CRP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
29	Calcium (Ca) (autosome)		"71,701"	Result of GWAS for Ca in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
30	Calcium (Ca) (chrX)		"71,701"	Result of GWAS for Ca in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
31	Chloride (Cl) (autosome)		"126,402"	Result of GWAS for Cl in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
32	Chloride (Cl) (chrX)		"126,402"	Result of GWAS for Cl in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
33	Diastolic blood pressure (DBP) (autosome)		"136,615"	Result of GWAS for DBP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
34	Diastolic blood pressure (DBP) (chrX)		"136,615"	Result of GWAS for DBP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
35	E/A ratio (EA) (autosome)		"8,600"	Result of GWAS for EA in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
36	E/A ratio (EA) (chrX)		"8,600"	Result of GWAS for EA in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
37	Ejection fraction (EF) (autosome)		"19,516"	Result of GWAS for EF in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
38	Ejection fraction (EF) (chrX)		"19,516"	Result of GWAS for EF in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
39	Eosinophil count (Eosino) (autosome)		"62,076"	Result of GWAS for Eosino in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
40	Eosinophil count (Eosino) (chrX)		"62,076"	Result of GWAS for Eosino in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
41	Fractional shortening (FS) (autosome)		"19,580"	Result of GWAS for FS in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
42	Fractional shortening (FS) (chrX)		"19,580"	Result of GWAS for FS in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
43	Fibrinogen (Fbg) (autosome)		"18,348"	Result of GWAS for Fbg in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
44	Fibrinogen (Fbg) (chrX)		"18,348"	Result of GWAS for Fbg in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
45	_-glutamyl transferase (GGT) (autosome)		"118,309"	Result of GWAS for GGT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
46	_-glutamyl transferase (GGT) (chrX)		"118,309"	Result of GWAS for GGT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
47	High-density-lipoprotein cholesterol (HDL-C) (autosome)		"70,657"	Result of GWAS for HDL-C in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
48	High-density-lipoprotein cholesterol (HDL-C) (chrX)		"70,657"	Result of GWAS for HDL-C in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
49	Hemoglobin (Hb) (autosome)		"108,769"	Result of GWAS for Hb in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
50	Hemoglobin (Hb) (chrX)		"108,769"	Result of GWAS for Hb in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
51	Hemoglobin A1c (HbA1c) (autosome)		"42,790"	Result of GWAS for HbA1c in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
52	Hemoglobin A1c (HbA1c) (chrX)		"42,790"	Result of GWAS for HbA1c in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
53	Hematocrit (Ht) (autosome)		"108,757"	Result of GWAS for Ht in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
54	Hematocrit (Ht) (chrX)		"108,757"	Result of GWAS for Ht in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
55	Interventricular septum thickness (IVS) (autosome)		"19,318"	Result of GWAS for IVS in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
56	Interventricular septum thickness (IVS) (chrX)		"19,318"	Result of GWAS for IVS in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
57	Potassium (K) (autosome)		"132,938"	Result of GWAS for K in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
58	Potassium (K) (chrX)		"132,938"	Result of GWAS for K in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
59	Lactate dehydrogenase (LDH) (autosome)		"126,319"	Result of GWAS for LDH in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
60	Lactate dehydrogenase (LDH) (chrX)		"126,319"	Result of GWAS for LDH in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
61	Low-density-lipoprotein cholesterol (LDL-C) (autosome)		"72,866"	Result of GWAS for LDL-C in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
62	Low-density-lipoprotein cholesterol (LDL-C) (chrX)		"72,866"	Result of GWAS for LDL-C in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
63	Left ventricular internal dimension in diastole (LVDd) (autosome)		"19,676"	Result of GWAS for LVDd in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
64	Left ventricular internal dimension in diastole (LVDd) (chrX)		"19,676"	Result of GWAS for LVDd in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
65	Left ventricular internal dimension in systole (LVDs) (autosome)		"19,586"	Result of GWAS for LVDs in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
66	Left ventricular internal dimension in systole (LVDs) (chrX)		"19,586"	Result of GWAS for LVDs in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
67	Left ventricular mass (LVM) (autosome)		"19,076"	Result of GWAS for LVM in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
68	Left ventricular mass (LVM) (chrX)		"19,076"	Result of GWAS for LVM in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
69	Left ventricular mass index (LVMI) (autosome)		"17,837"	Result of GWAS for LVMI in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
70	Left ventricular mass index (LVMI) (chrX)		"17,837"	Result of GWAS for LVMI in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
71	Lymphocyte count (Lym) (autosome)		"62,076"	Result of GWAS for Lym in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
72	Lymphocyte count (Lym) (chrX)		"62,076"	Result of GWAS for Lym in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
73	Mean arterial pressure (MAP) (autosome)		"136,482"	Result of GWAS for MAP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
74	Mean arterial pressure (MAP) (chrX)		"136,482"	Result of GWAS for MAP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
75	Mean corpuscular hemoglobin (MCH) (autosome)		"108,054"	Result of GWAS for MCH in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
76	Mean corpuscular hemoglobin (MCH) (chrX)		"108,054"	Result of GWAS for MCH in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
77	Mean corpuscular hemoglobin concentration (MCHC) (autosome)		"108,728"	Result of GWAS for MCHC in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
78	Mean corpuscular hemoglobin concentration (MCHC) (chrX)		"108,728"	Result of GWAS for MCHC in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
79	Mean corpuscular volume (MCV) (autosome)		"108,256"	Result of GWAS for MCV in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
80	Mean corpuscular volume (MCV) (chrX)		"108,256"	Result of GWAS for MCV in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
81	Monocyte count (Mono) (autosome)		"62,076"	Result of GWAS for Mono in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
82	Monocyte count (Mono) (chrX)		"62,076"	Result of GWAS for Mono in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
